hr,planning_id
186.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
183.0,2025w18-Tue
183.0,2025w18-Tue
183.0,2025w18-Tue
182.0,2025w18-Tue
181.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
173.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
182.0,2025w18-Tue
183.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
186.0,2025w18-Tue
187.0,2025w18-Tue
187.0,2025w18-Tue
187.0,2025w18-Tue
186.0,2025w18-Tue
186.0,2025w18-Tue
186.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
184.0,2025w18-Tue
183.0,2025w18-Tue
180.0,2025w18-Tue
177.0,2025w18-Tue
174.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
175.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
176.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
173.0,2025w18-Tue
176.0,2025w18-Tue
179.0,2025w18-Tue
182.0,2025w18-Tue
184.0,2025w18-Tue
187.0,2025w18-Tue
188.0,2025w18-Tue
189.0,2025w18-Tue
189.0,2025w18-Tue
189.0,2025w18-Tue
189.0,2025w18-Tue
189.0,2025w18-Tue
188.0,2025w18-Tue
188.0,2025w18-Tue
187.0,2025w18-Tue
187.0,2025w18-Tue
186.0,2025w18-Tue
186.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
185.0,2025w18-Tue
184.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
181.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
180.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
177.0,2025w18-Tue
176.0,2025w18-Tue
176.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
168.0,2025w18-Tue
167.0,2025w18-Tue
168.0,2025w18-Tue
167.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
166.0,2025w18-Tue
165.0,2025w18-Tue
164.0,2025w18-Tue
163.0,2025w18-Tue
163.0,2025w18-Tue
163.0,2025w18-Tue
163.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
162.0,2025w18-Tue
163.0,2025w18-Tue
164.0,2025w18-Tue
164.0,2025w18-Tue
164.0,2025w18-Tue
166.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
168.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
167.0,2025w18-Tue
168.0,2025w18-Tue
169.0,2025w18-Tue
170.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
173.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
174.0,2025w18-Tue
175.0,2025w18-Tue
175.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
179.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
180.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
182.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
181.0,2025w18-Tue
180.0,2025w18-Tue
179.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
178.0,2025w18-Tue
176.0,2025w18-Tue
177.0,2025w18-Tue
175.0,2025w18-Tue
174.0,2025w18-Tue
173.0,2025w18-Tue
173.0,2025w18-Tue
172.0,2025w18-Tue
172.0,2025w18-Tue
171.0,2025w18-Tue
171.0,2025w18-Tue
170.0,2025w18-Tue
170.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
169.0,2025w18-Tue
168.0,2025w18-Tue
166.0,2025w18-Tue
164.0,2025w18-Tue
162.0,2025w18-Tue
160.0,2025w18-Tue
160.0,2025w18-Tue
160.0,2025w18-Tue
160.0,2025w18-Tue
159.0,2025w18-Tue
159.0,2025w18-Tue
158.0,2025w18-Tue
158.0,2025w18-Tue
